EY_PV_Serial_Number,Parent Facility,Grouped / Standalone,Site Type,"Site Name 
(English)",City,latitude,longitude,Site Status,Year of Construction
7,7,Grouped,WATER TREATMENT PLANT (WTRP),Al-Maramiya,Al Ais,25.613953,37.882401,Working,2010
8,8,Grouped,WATER TREATMENT PLANT (WTRP),Salila Juhayna,Al Ais,25.57705,38.345112,Working,2010
24,24,Grouped,WATER TREATMENT PLANT (WTRP),Amtan,Al Ais,25.716622,38.364909,Working,2020
68,1108,Grouped,WATER PUMPING STATION (WPUS),MO-PS,Al Ais,24.821183,38.335816,Working,2011
69,124,Grouped,WATER PUMPING STATION (WPUS),MR-PS,Al Ais,25.362233,38.344641,Working,2015
91,1016,Grouped,WATER PUMPING STATION (WPUS),WK-PS,Al Ais,24.854285,38.251482,Working,2011
108,892,Grouped,WATER PUMPING STATION (WPUS),AIS-PS,Al Ais,25.025482,38.142511,Working,2011
124,124,Grouped,WATER FILLING STATION (WFLS),Al-Ais Governorate/  Al-Muraba sheeb and Reservoir(Tank),Al Ais,25.362808,38.344553,Working,2015
153,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Ais Governorate / Al-Maramiya Sheeb and  Reservoir(Tank),Al Ais,25.613796,37.882246,Working,2010
154,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Ais Governorate / Salila Juhayna Sheeb and  Reservoir(Tank),Al Ais,25.577216,38.344828,Working,2011
155,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Ais Governorate / Amtan Sheeb and  Reservoir(Tank),Al Ais,25.716622,38.364909,Working,2020
156,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Ais Governorate / Al-Ais Sheeb and  Reservoir(Tank),Al Ais,25.026232,38.142666,Working,2011
157,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Ais Governorate / Al-Muthalath Sheeb and Reservoir(Tank),Al Ais,24.820479,38.334761,Working,2011
300,Standalone,Standalone,WELL ABSTRACTION (WABS),Salila Juhayna Well 3,Al Ais,25.592757,38.342579,Working,2010
301,Standalone,Standalone,WELL ABSTRACTION (WABS),Taraa Well 1,Al Ais,25.143384,38.443588,Out of Service,2005
302,Standalone,Standalone,WELL ABSTRACTION (WABS),Taraa Well 2,Al Ais,25.146025,38.442222,Working,2005
303,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Maramiya Well 2,Al Ais,25.619692,37.876057,Working,2010
304,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Maramiya Well 3,Al Ais,25.620475,37.875087,Working,2010
305,Standalone,Standalone,WELL ABSTRACTION (WABS),Amera Well ,Al Ais,25.593354,38.10042,Out of Service,2008
306,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Eiss Well (Al-Sadd),Al Ais,25.052398,38.092737,Working,2008
484,Standalone,Standalone,WELL ABSTRACTION (WABS),Salila Juhayna Well 1,Al Ais,25.590549,38.343427,Working,2010
485,Standalone,Standalone,WELL ABSTRACTION (WABS),Salila Juhayna Well 2,Al Ais,25.591653,38.343033,Working,2010
486,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Badia Well,Al Ais,25.317211,38.191884,Out of Service,2015
487,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Marameya Well 1,Al Ais,25.612322,37.882353,Out of Service,2010
559,Standalone,Standalone,WELL ABSTRACTION (WABS),Amtan  Well,Al Ais,25.716732,38.365165,Working,2018
892,892,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Aleiss Tank (2),Al Ais,25.024654,38.142607,Working,2016
893,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK), Taraa  Reservoir,Al Ais,25.1441,38.4417,Working,2000
905,8,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Salilat Juheinah,Al Ais,25.577106,38.344968,Working,2011
906,8,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Salilat Juheinah,Al Ais,25.577042,38.344849,Working,2011
914,7,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Almaramiah Raw tank,Al Ais,25.613845,37.882296,Working,2010
915,124,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Almorabaa Tank ,Al Ais,25.361985,38.344466,Working,2015
970,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Alaraq,Al Ais,26.030661,37.687325,Working,2011
992,7,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Almaramiah Reservoir,Al Ais,25.613794,37.882381,Working,2010
1016,1016,Grouped,POTABLE WATER STORAGE TANKS (WTNK), Wadi Kober Reservoir,Al Ais,24.854641,38.251918,Working,2016
